Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Austria,3.6,3.15,739,9.8,33.784,9.931,74.189,34.178,64.231,1.6,84.9
Belgium,4.07,3.18,706,6.34,9.472,6.709,18.886,8.29,82.969,5.2,87.6
Bulgaria,2.61,1.41,317,2.33,20.581,8.076,22.355,33.25,36.325,33.7,98.9
Croatia,2,1.67,562,5.74,28.047,2.582,48.139,36.65,52.691,7.7,87.7
Cyprus,2.93,2.14,388,7.32,13.873,2.661,9.357,37.165,92.491,21.9,94
Czechia,3.81,2.38,663,4.38,15.14,6.556,13.711,20.642,36.879,2.7,76.3
Denmark,3,2.52,768,15.18,35.16,6.92,62.394,44.968,22.704,3.0,68.6
Estonia,4.58,2.24,712,3.28,29.97,3.315,19.679,53.672,1.229,2.3,97.3
Finland,5.93,4.68,1032,5.75,41.182,14.766,36.539,54.905,44.809,1.7,73.6
France,3.56,2.19,593,8.63,16.384,8.963,21.131,21.216,46.844,5.0,80.1
Germany (until 1990 former territory of the FRG),3.52,2.6,673,9.35,16.66,7.941,37.591,14.22,63.478,2.7,90
Greece,2.11,1.48,365,7.19,18.001,4.108,26.001,30.123,70.681,22.7,81.4
Hungary,2.5,1.9,595,4.64,12.549,7.746,8.306,18.204,58.123,6.1,77.7
Iceland,18.14,9.95,1433,2.08,77.173,8.397,98.497,79.949,19.143,1.0,44.6
Ireland,3,2.55,609,18.74,10.942,7.186,33.317,6.381,67.556,4.4,84.1
Italy,2.44,1.93,528,10.13,17.796,7.659,33.93,19.279,76.338,14.1,83.7
Latvia,2.43,2.17,639,4.84,40.019,4.729,53.499,55.413,44.313,7.5,83.8
Lithuania,2.27,1.99,540,4.67,24.695,4.333,18.408,46.016,73.897,27.9,102.1
Luxembourg,7.34,7.16,821,11.36,8.942,6.597,9.115,8.362,95.183,2.1,91.5
Malta,1.69,1.36,199,3.55,7.914,8.019,7.703,22.825,97.527,7.6,57.6
Netherlands,3.73,2.94,560,8.05,7.394,9.483,15.171,6.16,59.495,2.2,94
Norway,5.23,3.65,863,11.68,71.566,20.318,106.829,33.099,-554.757,0.9,86
Poland,2.74,1.97,594,4.33,14.936,5.72,13.027,21.473,43.505,5.1,86
Portugal,2.2,1.64,280,7.53,30.203,9.037,52.187,40.924,75.653,19.4,85.5
Romania,1.67,1.21,399,5.04,23.875,6.342,41.793,25.434,24.291,9.6,88.8
Slovakia,2.9,2.04,378,4.96,11.896,6.988,21.499,10.599,63.679,4.8,81.5
Slovenia,3.21,2.39,523,5.93,21.378,5.48,32.307,32.337,51.213,3.3,91.6
Spain,2.66,1.85,324,8.47,17.023,6.939,35.236,16.136,73.599,9.1,83.2
Sweden,4.64,3.14,736,8.42,53.916,29.696,66.228,63.301,29.059,2.3,69.9
United Kingdom,2.67,2.03,576,11.51,11.138,6.514,31.326,7.544,35.513,5.4,83.2
