Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,Year,Pref
A1,0.14593908629441624,0.3014804845222073,0.6647058823529411,0.6845360824742268,0.43223223223223217,1.0,0.6753105273874975,0.4415895257418209,0.06170971964353537,0.9500000000000001,0.5007299270072992,2010,0.43470949380574864
A2,0.20685279187817254,0.31897711978465687,0.7019607843137254,0.3577319587628866,0.07185757185757184,0.4483886034563288,0.07432294848299735,0.05722165863555668,0.035996928940174644,0.9227272727272727,0.4773722627737227,2010,0.31437494796285326
A3,0.045685279187817264,0.010767160161507383,0.13333333333333333,0.028865979381443276,0.18517088517088517,0.13993460999532928,0.12549378945225007,0.336577479076845,0.09860318940321353,0.0,0.10364963503649627,2010,0.12941204539397938
A4,0.027284263959390872,0.07671601615074024,0.46862745098039216,0.30515463917525765,0.344973544973545,0.1049042503503036,0.38168397475056004,0.4720549074308902,0.08793109350268719,0.8818181818181818,0.40875912408759124,2010,0.3387168359416299
A5,0.10088832487309646,0.16419919246298792,0.23431372549019608,0.488659793814433,0.07410267410267408,0.18626809901914992,0.013826104663001425,0.2490647983768704,0.0,0.593939393939394,0.30072992700729917,2010,0.22106443645999152
A6,0.15418781725888323,0.17496635262449534,0.5323529411764706,0.1670103092783505,0.13633633633633632,0.4876226062587576,0.07619629403380167,0.17429622115140755,0.12267449536977418,0.9287878787878787,0.597080291970803,2010,0.32781525840838177
A7,0.125,0.2274562584118439,0.7205882352941176,1.0,0.298998998998999,0.10742643624474543,0.33295662797800857,0.432237509510525,0.1901400070745221,0.9787878787878787,0.5357664233576642,2010,0.3986740430207826
A8,0.16180203045685276,0.14535666218034993,0.592156862745098,0.056701030927835024,0.3374231374231374,0.04044838860345633,0.10447973936061902,0.6350177529799644,0.1401146594204434,0.9606060606060606,0.36350364963503656,2010,0.35395753481241826
A9,0.315989847715736,0.5087483176312247,0.8990196078431373,0.33402061855670095,0.4459745459745459,0.40980850070060715,0.27676644267969863,0.6478728125792543,0.08440035274806061,0.9863636363636363,0.36058394160583945,2010,0.4008987910613365
A10,0.14593908629441624,0.17092866756393002,0.5235294117647059,0.5649484536082474,0.16719576719576718,0.6143858010275572,0.15050906129097943,0.20701242708597514,0.08474918863055834,0.9212121212121211,0.5167883211678833,2010,0.340870436677014
A11,0.14086294416243655,0.21803499327052492,0.6019607843137255,0.5845360824742267,0.15283855283855283,0.5990658570761327,0.18538994094889025,0.14194458534111082,0.06625273648709226,0.9318181818181818,0.45693430656934303,2010,0.34020639322874274
A12,0.05203045685279189,0.08075370121130551,0.24803921568627452,0.5536082474226802,0.1301015301015301,0.17888836992059787,0.12497454693545103,0.2466079127567842,0.052247138812230115,0.7742424242424243,0.4350364963503649,2010,0.27461084044186285
A13,0.05266497461928934,0.0847913862718708,0.48823529411764705,0.19587628865979378,0.1682110682110682,0.5757122839794488,0.07199144777031154,0.2373985544002029,0.0712440237404009,0.8454545454545455,0.5927007299270072,2010,0.30720817530709693
A14,1.0,0.967698519515478,1.0,0.0,1.0,0.018122372723026622,0.9406129097943392,1.0,0.14144479998174317,0.9863636363636363,1.0,2010,0.5234789343722052
A15,0.10152284263959391,0.2018842530282638,0.6049019607843137,0.9443298969072164,0.06829686829686829,0.2326950023353573,0.15892893504377928,0.018719883337560226,0.021438736105654894,0.9045454545454545,0.4905109489051094,2010,0.31404320611434716
A16,0.07550761421319796,0.1426648721399731,0.4215686274509804,0.7329896907216495,0.1722293722293722,0.4592246613731901,0.2042252087151293,0.19880167385239664,0.02944729073514717,0.8318181818181818,0.4729927007299271,2010,0.3110242608458623
A17,0.03426395939086294,0.11440107671601615,0.4852941176470588,0.18865979381443299,0.4203632203632203,0.3716020551144325,0.42780492771329676,0.5967061881815876,0.0898024187041236,0.7181818181818181,0.41605839416058393,2010,0.3385546574773695
A18,0.022842639593908632,0.059219380888290714,0.34019607843137256,0.20927835051546387,0.26685256685256686,0.3544138253152732,0.07502545306454897,0.46655465381689065,0.035194932425273315,0.6257575757575757,0.0,2010,0.258401827920656
A19,0.47335025380710655,1.0,0.8274509803921568,0.7505154639175258,0.026783926783926777,0.1955161139654367,0.0382203217267359,0.025424803449150386,0.0058144747330345845,1.0,0.291970802919708,2010,0.35233684465169407
A20,0.0387055837563452,0.013458950201884238,0.0,0.10309278350515463,0.0,0.0,0.0,0.06628835911742328,0.0026081187476465714,0.790909090909091,0.543065693430657,2010,0.2382133837904224
A21,0.17068527918781726,0.29878869448183043,0.5725490196078431,0.4680412371134019,0.042013442013442,0.31732835123773934,0.09742414986764407,0.0,0.11794728013966477,0.9727272727272728,0.39708029197080297,2010,0.3288908373608248
A22,0.2982233502538071,0.38896366083445494,0.7852941176470588,0.7824742268041236,0.871013871013871,0.5035964502568893,1.0,0.48546474765407044,1.0,0.996969696969697,0.5649635036496351,2010,0.7703273622894293
A23,0.05774111675126904,0.0847913862718708,0.40294117647058825,0.17628865979381442,0.11871871871871872,0.6202709014479215,0.06635104866625942,0.13809282272381435,0.11258433596481648,0.7833333333333333,0.45547445255474456,2010,0.2979842600131017
A24,0.03236040609137057,0.08209959623149395,0.11176470588235295,0.554639175257732,0.33134563134563133,0.5183559084539935,0.41311341885563024,0.48684377377631244,0.04142996630636593,0.5515151515151515,0.5781021897810218,2010,0.2981096567942681
A25,0.0,0.0,0.2284313725490196,0.1783505154639175,0.3125268125268125,0.12760392340028026,0.308959478721238,0.38243406036013183,0.1291833817193697,0.703030303030303,0.5576642335766424,2010,0.29290420273617307
A26,0.09263959390862943,0.13862718707940783,0.2568627450980392,0.20824742268041235,0.11611611611611612,0.4943484353106025,0.18063530849114234,0.07605249809789501,0.05898912577489654,0.9409090909090909,0.5167883211678833,2010,0.3144221339765257
A27,0.11421319796954316,0.18304172274562588,0.4892156862745098,0.32474226804123707,0.2874588874588874,0.29126576366184026,0.3275096721645287,0.4190495815369008,0.08371898172523795,0.9363636363636363,0.3591240875912408,2010,0.3476854457434947
A28,0.06408629441624367,0.10901749663526245,0.1931372549019608,0.6072164948453608,0.18308308308308308,0.4687529191966371,0.3025453064548972,0.14896652295206694,0.03852843419960911,0.8939393939393939,0.5416058394160583,2010,0.32174988634397356
