Ai,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A1,0.43470949380574864,0.40675078631535244,0.40571626632917207,0.418372557938349,0.3687507244371281,0.3705076290663328,0.35452556872005814,0.36099360040971795,0.37327960774684127,0.3719649586610602,0.3401124337264156
A2,0.31437494796285326,0.2821766868904754,0.28906737300568974,0.30614155785603636,0.2751296180893116,0.2738648108471636,0.2740574342326805,0.27527032178525346,0.2830132880973377,0.2937677863208032,0.26683736834521943
A3,0.12941204539397938,0.11952657574326032,0.12865556597835648,0.1706987191100902,0.13870954044051048,0.1379133619242647,0.13007514120657593,0.1303175276196498,0.1321304590981662,0.1349206936202109,0.12699316731552635
A4,0.3387168359416299,0.29614269664879544,0.30482677162071653,0.3311168325478004,0.2962038588730203,0.2955407849471243,0.28566880397862526,0.29632353611772316,0.30283966631031844,0.30891383846624704,0.2838980651951607
A5,0.22106443645999152,0.16697772374695863,0.15267551661949416,0.16205758113972404,0.14588306591138878,0.1361559810002546,0.15299119328427255,0.15666267037250675,0.17154130123859943,0.16024247713947803,0.1397599761632323
A6,0.32781525840838177,0.27823800716155633,0.3082661569931517,0.3218943287911298,0.2888220687136,0.29283441515075037,0.2910520377515201,0.30084880467158936,0.31106633637455405,0.31246634037336646,0.29030162611526067
A7,0.3986740430207826,0.37720724058760646,0.396672036563884,0.4080954013941553,0.3765100587655746,0.37376262974078045,0.36892432811998827,0.3846326609258339,0.3881068713358173,0.38988569244153143,0.3480521738064944
A8,0.35395753481241826,0.32740351264103335,0.3297223353452862,0.3554898497823355,0.3338349032862056,0.34002345711353493,0.32933787848597307,0.3381259501828538,0.35588063605182985,0.35699696959036226,0.3311296980286399
A9,0.4008987910613365,0.35532758278719123,0.3717580483654502,0.42657173888775757,0.4106126629482156,0.4077177276995175,0.3604648704270876,0.38968859396979455,0.38841720377112204,0.39432371612923733,0.3532796201047841
A10,0.340870436677014,0.2838003338723473,0.3210206514804004,0.328851961171373,0.29506304549778245,0.2959855162469447,0.2910820847593367,0.29803524022079614,0.3037527624324772,0.2949924546160443,0.2625173312033454
A11,0.34020639322874274,0.31807251223651745,0.326754228108306,0.33425796993876566,0.2982056295372974,0.3007272131821525,0.29585471147555936,0.30578372105174134,0.31979349593140227,0.32336754710803406,0.24785591804323892
A12,0.27461084044186285,0.21718618263442596,0.19159298123750773,0.19424083643050513,0.14872671341639665,0.15076711968599155,0.14238950490649568,0.15912547178322795,0.16881994747192344,0.1932362608862047,0.17449758818364114
A13,0.30720817530709693,0.2774995108386429,0.2654381706802523,0.2743432121326598,0.2471334894057249,0.25882991675775013,0.2534412522996513,0.26910848075372906,0.2768970570602296,0.27741076166541734,0.2638426420699123
A14,0.5234789343722052,0.4903004900232874,0.5075176003136618,0.5402119256267763,0.48859526039470724,0.48985910850286857,0.47561899145125286,0.48598460847795927,0.507935859012997,0.5123577057252838,0.4701269898380811
A15,0.31404320611434716,0.294738727437125,0.29218281605015173,0.30073839210114767,0.27878490881353696,0.2837661935135963,0.2949807234691315,0.31461256516590436,0.324879966490125,0.32586462001781935,0.30566357962618235
A16,0.3110242608458623,0.25835736970016643,0.25651342697898183,0.27094663258291324,0.23623361420912542,0.23621434803922645,0.23453622047854333,0.23675130191757307,0.24029181134022756,0.2553469956225027,0.2229752444707388
A17,0.3385546574773695,0.29111709363981536,0.30707285722122674,0.32243414259837333,0.30651647849172736,0.30486189817186427,0.30426496769046363,0.32075134561597574,0.3386824576799432,0.33538623090904895,0.309132724883572
A18,0.258401827920656,0.17741408200562517,0.1941929669934957,0.21741332490132573,0.19658072634438886,0.18815761545656887,0.17781465731343324,0.17760630745638875,0.16656382488281032,0.16383459256560026,0.16020348379493915
A19,0.35233684465169407,0.3285149486135592,0.3358911051036326,0.35242527119223016,0.3262044406003436,0.3243774493065414,0.31399396606309504,0.31961387124118257,0.3270839706685086,0.32995368216667853,0.2981155178515701
A20,0.2382133837904224,0.19158209408933088,0.17895682651303457,0.17258538133793405,0.15427801813411507,0.20288261985209227,0.24267188018374727,0.2528328164568521,0.25374558526361296,0.24879101118463015,0.22602479941838027
A21,0.3288908373608248,0.31558029601371435,0.3169755896044257,0.3294352509152142,0.29892036549820966,0.29065677173962673,0.28721892251394626,0.29507834517143283,0.3071875429778148,0.3052985732776669,0.2814674420173262
A22,0.7703273622894293,0.728075450908845,0.7226826867679432,0.7159634619752646,0.730934452833147,0.7385385851322833,0.7609926737076789,0.7644850294636213,0.7433244464013417,0.7526875076449866,0.7659745458341455
A23,0.2979842600131017,0.27530384395268614,0.2723892096344572,0.2872395739908532,0.2623410022604525,0.26862785690732655,0.26256325237857686,0.2717375861382073,0.2894561834801365,0.29476644852593464,0.27562184110211846
A24,0.2981096567942681,0.23851451257585848,0.23868981828095465,0.2507989727425931,0.23178983503353676,0.24580089357740217,0.24055967718696647,0.24484518619639492,0.24171135782762776,0.23553791780745262,0.21303248098743252
A25,0.29290420273617307,0.28515876525468203,0.28618091764401576,0.303123160550107,0.2752047073762621,0.27284932336301343,0.2596446597657426,0.2739556027982304,0.2830186377563578,0.27888043891784176,0.2399687177694841
A26,0.3144221339765257,0.29584296196111026,0.29200216088053077,0.3032975916867691,0.2723522260345439,0.2763737901755276,0.2702176410244499,0.27821876017322067,0.2826405672464183,0.2647059981555794,0.2543936531614563
A27,0.3476854457434947,0.31227595683525083,0.3180278515683003,0.3452907677208272,0.30479884386930756,0.303458304279992,0.29572850054425875,0.30617295197859135,0.3179990257423017,0.3264685666526376,0.296026040526881
A28,0.32174988634397356,0.2780186279809368,0.27505487615076757,0.297992797809288,0.2541076163363202,0.2542638264947814,0.2551019461380337,0.26927677445835213,0.26653513616159125,0.2754411022014347,0.22140492341727178
A29,0.4662121616115108,0.45664539545674426,0.4674228072926019,0.48535226547359034,0.4348780148926281,0.4399617278263598,0.4195815236708452,0.43523269685653576,0.43596509571035746,0.44135746601382986,0.39228223380229965
A30,0.3185293417545024,0.28793285210161684,0.27947225942031434,0.2843259218372215,0.26504684207408274,0.277731059027923,0.2845290410827156,0.29133229826846896,0.3040704033693987,0.30660841046452375,0.2743129903655537
