Ai,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A1,4,4,4,5,6,6,6,6,6,6,6
A2,19,19,18,16,18,19,18,19,20,19,17
A3,30,30,30,29,30,29,30,30,30,30,30
A4,12,12,15,11,13,13,16,15,17,14,13
A5,29,29,29,30,29,30,28,29,27,29,29
A6,15,20,13,15,15,14,14,13,13,13,12
A7,6,5,5,6,5,5,4,5,5,5,5
A8,7,8,8,7,7,7,7,7,7,7,7
A9,5,6,6,4,4,4,5,4,4,4,4
A10,10,18,10,13,14,12,13,14,16,17,19
A11,11,9,9,10,12,11,10,12,11,12,21
A12,26,26,27,27,28,28,29,28,28,27,27
A13,22,22,23,23,23,22,23,23,22,21,18
A14,2,2,2,2,2,2,2,2,2,2,2
A15,20,14,16,19,16,16,12,10,10,11,9
A16,21,24,24,24,24,25,26,26,26,24,24
A17,13,15,14,14,9,9,9,8,8,8,8
A18,27,28,26,26,26,27,27,27,29,28,28
A19,8,7,7,8,8,8,8,9,9,9,10
A20,28,27,28,28,27,26,24,24,24,25,23
A21,14,10,12,12,11,15,15,16,14,16,14
A22,1,1,1,1,1,1,1,1,1,1,1
A23,24,23,22,21,21,21,20,21,18,18,15
A24,23,25,25,25,25,24,25,25,25,26,26
A25,25,17,19,18,17,20,21,20,19,20,22
A26,18,13,17,17,19,18,19,18,21,23,20
A27,9,11,11,9,10,10,11,11,12,10,11
A28,16,21,21,20,22,23,22,22,23,22,25
A29,3,3,3,3,3,3,3,3,3,3,3
A30,17,16,20,22,20,17,17,17,15,15,16
